"3f4752f0-c6d1-012f-818d-3c075448cc4b",39992,"Chinese rice paper paintings.","","","1850",1850,"","","","","Painting, Chinese","","","","","still image","","b14182534","","MAG+ (Chinese rice paper paintings)","","","","","","4151702","68 leaves of plates : col. ill. (mounted) ; 38 cm.","","","",63,"http://digitalcollections.nypl.org/collections/3f4752f0-c6d1-012f-818d-3c075448cc4b"
"b7b3a390-c6d1-012f-c2f0-58d385a7bc34",39995,"Yiddish theater placards","","","","","","","","","Jewish arts","","","","","","","","","","","","","","","","","","","",27,"http://digitalcollections.nypl.org/collections/b7b3a390-c6d1-012f-c2f0-58d385a7bc34"
"7dd9d750-c6d1-012f-44b7-3c075448cc4b",39996,"Assortment of photographs of Palestine and Jerusalem.","","","ca. 1870-ca. 1900",1870,"","","","","","","","","","still image","Photographs","","","94PH055 [accession number]","","","","","","","36 photographs","Albumen prints","","",36,"http://digitalcollections.nypl.org/collections/7dd9d750-c6d1-012f-44b7-3c075448cc4b"
"f6148260-c6d1-012f-46e8-58d385a7bc34",39998,"Newest styles for men.","","Men","","","","","","","Tailoring | Clothing & dress","Men","","","","still image","Halftone photomechanical prints","b12058344","","3-VLVA+ (Newest styles for men) autumn/winter 1924, spring/summer 1926-1932, 1934-1939; v. 30 (1940)-v. 32, no. 2B (1942)","","","","","","11491769","v. : col. ill. ; 44 cm.","","Tailoring Arts Pub. Co.","New York",95,"http://digitalcollections.nypl.org/collections/f6148260-c6d1-012f-46e8-58d385a7bc34"
"1424a910-c6d2-012f-46c9-58d385a7bc34",39999,"Opisanie vsekh obitaiushchikh v rossiiskom gosudarstve narodov : Ikh zhiteiskikh obriadov, obyknovenii, odezhd, zhilishch, uprazhnenii, zabav, vieroispoviedanii i drugikh dostopamiatnostei...","Opisanie vsekh obitaiushchikh v rossiiskom gosudarstve narodov : Ikh zhiteiskikh obriadov, obyknovenii, odezhd, zhilishch, uprazhnenii, zabav, vieroispoviedanii i drugikh dostopamiatnostei...","Georgi, Johann Gottlieb (1738-1802)","1799",1799,"","","","General Note: pt. 1. O narodakh finnskago plemeni.--pt. 2. O narodakh tatarskago plemeni.--pt. 3.  o narodakh semoiadskikh.--pt. 4. o narodakh mongol'skikh.","Ethnology","","Russia","","","still image","","b15935326","","Slav. Reserve (Georgi. Opisanie)","","","","","","1679797","xv, 76, 178, 116, 385 p., 100 leaves of plates : ill. (chiefly col.) ; 26 cm.","","Pri Imperatorskoi Akademii Nauk","V Sanktpeterburgie",95,"http://digitalcollections.nypl.org/collections/1424a910-c6d2-012f-46c9-58d385a7bc34"
"34007fd0-c6d2-012f-5566-58d385a7bc34",40000,"A Pictorial description of Broadway","","Mail & Express (Firm)","1899",1899,"","","","Statement of Responsibility Note: by the Mail & Express.","Streets | Buildings, structures, etc","","New York (State) | New York | Broadway (New York, N.Y.) | New York (N.Y.)","","","still image","","b12714370","","(S) AZ+ (Evening Mail, New York. Pictorial description of Broadway)","","","","","","29278445","[4], 91 p. : col. ill. ; 17 x 43 cm.","","Mail & Express","New York",94,"http://digitalcollections.nypl.org/collections/34007fd0-c6d2-012f-5566-58d385a7bc34"
"5249a940-c6d2-012f-fda1-58d385a7bc34",40001,"Views of the Estrada de Ferro Madeira e Mamore Amazonas & Matto Grosso, Brazil S.A.","","Merrill, D. B. (Dana B.)",1909,1909,1912,"","","Ownership and Custodial History Note: Gift of Dr. Groesbeck Walsh, 1939","Railroads construction & maintenance | Railroads","","Brazil","","","still image","","b10699145","","MFZ+++ (Merrill) 81-795","","","","","","NYPG81-B8621","[58], 64 p. : chiefly ill. ; 36 x 58 cm.","","","",94,"http://digitalcollections.nypl.org/collections/5249a940-c6d2-012f-fda1-58d385a7bc34"
"7139d690-c6d2-012f-d04b-58d385a7bc34",40002,"M. William Shak-speare: His True Chronicle Historie of thelife and death of King Lear and his three Daughters.","M. William Shak-speare: His True Chronicle Historie of thelife and death of King Lear and his three Daughters.","Shakespeare, William (1564-1616)","1608",1608,"","","","General Note: Title vignette: priniter's mark of Nicholas Okes (McKerrow316)","","","","","","","","b14395077","","","","","","","","","41 l. 19 cm. (4to.)","","printed for Nathaniel Butter,","London,",94,"http://digitalcollections.nypl.org/collections/7139d690-c6d2-012f-d04b-58d385a7bc34"
"8fb550b0-c6d2-012f-1902-58d385a7bc34",40003,"The bronze ornaments of the palace gates of Balawat (Shalmaneser II, B.C. 859-825) edited, with an introduction by Samuel Birch ; with descriptions and translations by Theophilus G. Pinches.","","Pinches, Theophilus G. (Theophilus Goldridge) (1856-1934) | Eames, Wilberforce (1855-1937) | Birch, Samuel (1813-1885) | Birch, Walter de Gray (1842-1924) | Shalmanesar III, King of Assyria,","1880-[1902]",1880,"","","","General Note: Wilberforce Eames purchased a bound copy of this work from Quaritch, containing the fascicles and the front wrapper to volume 1. Through diligent correspondence, he was able to find the covers to the remaining fascicles as well as 3 of the temporary printed leaflets to fascicles 1, 2, and 4. More significantly, he discovered the proofs for Samuel Birch's unpublished introduction and description containing pencilled corrections on the margins of nearly every page as well as an original drawing of the Bronze Gates by T.G. Pinches. Eames bound all the material together in a new volume, and attached a typewritten statement of his achievement to the front free endpaper. This volume is signed ""W. Eames"" in the upper right hand corner of the front free endpaper.","Gates | Bas-reliefs | Palaces","Shalmanesar III, King of Assyria,","Assyria","","","still image","","b12082409","","*OCM+++ 95-2096","","","","","","4580164","5 fascs. in 1 v. illus., photos. 55 cm.  [91 mounted photos. 27 x 39 cm. and smaller]","","Society of Biblical Archaeology","London",94,"http://digitalcollections.nypl.org/collections/8fb550b0-c6d2-012f-1902-58d385a7bc34"
"cdf3ec70-c6d2-012f-3cc9-58d385a7bc34",40005,"Les arts arabes: architecture--menuiserie--bronzes--plafonds--revêtements--marbres--pavements--vitraux--etc. Avec une table descriptive et explicative, et le trait général de l'art arabe, par Jules Bourgoin.","Les arts arabes: architecture--menuiserie--bronzes--plafonds--revêtements--marbres--pavements--vitraux--etc. Avec une table descriptive et explicative, et le trait général de l'art arabe, par Jules Bourgoin.","Bourgoin, Jules (b. 1838)","1873",1873,"","","","","","","","","","still image","Engravings","b13985694","","MAF++ (Bourgoin, J. Arts arabes)","","","","","","3209464","4 p. l., viii, 28, 4, 3 p. illus., 92 pl. (part col.) 45 cm.","","Vve. A. Morel","Paris",1,"http://digitalcollections.nypl.org/collections/cdf3ec70-c6d2-012f-3cc9-58d385a7bc34"
"4b9d7990-c6d3-012f-f07c-58d385a7bc34",40013,"Japanese Color Woodcuts by Kitagawa Utamaro","","","","","","","","","","","","","","still image","Prints","","","","","","","","","","","","","",36,"http://digitalcollections.nypl.org/collections/4b9d7990-c6d3-012f-f07c-58d385a7bc34"
"8db6b700-c6d3-012f-aa14-58d385a7bc34",40018,"Monuments Égyptiens, bas-reliefs, peintures, inscriptins, etc., d'après les dessins exécutés sur les lieux par E. Prisse d'Avennes, pour faire suite aux Monuments de l'Égypte et de la Nubie de Champollion-le-jeune; ouvrage pub. sous les auspices de M. le comte de Salvandy.","","Prisse d'Avennes (1807-1879)","1847",1847,"","","","","Antiquities","","Egypt","","","still image","Lithographs","b14293062","","*OBL+++ (Prisse d'Avennes, E. Monuments égyptiens)","","","","","","7044079","[4], 9 p. 50 pls. (part col.); 70 cm.","","F. Didot Frères","Paris",54,"http://digitalcollections.nypl.org/collections/8db6b700-c6d3-012f-aa14-58d385a7bc34"
"f1a4e960-c6d3-012f-b5b0-58d385a7bc34",40026,"Ninive et l'Assyrie, par Victor Place ...","","Place, Victor (1818-1875)",1867,1867,1870,"","","General Note: Davidson (1988) 7-21","Antiquities & archaeological sites","","Assyria","","","still image","Etchings","b14308515","","*OCM+++ (Place, V. Ninive et l'Assyrie)","","","","","","6801167","3 v. 82 (i.e. 87) pl. (incl. map, plans; part col. and fold.) 64 cm.; Vol. 3, plates.","","","",90,"http://digitalcollections.nypl.org/collections/f1a4e960-c6d3-012f-b5b0-58d385a7bc34"
"0e09cc50-c6d4-012f-cc51-58d385a7bc34",40027,"William J. Wilgus papers","","Wilgus, William J. (William John) (1865-1949)",1895,1895,1947,"","","General Note: Collection consists of records that document Wilgus' professional activities as a civil engineer. New York Central and Hudson River Railroad papers, 1895-1931, include correspondence; research notes, articles and pictures, engineering reports, minutes, legal papers, photographs and other materials relating to the new Grand Central Station and electrification of the suburban lines leading into it, and the rehabilitation and expansion of the railroad's other lines.","","","","","","still image","","b11652254","","MssCol 3325","","","","","","","115 linear feet (112 boxes)","","","",12,"http://digitalcollections.nypl.org/collections/0e09cc50-c6d4-012f-cc51-58d385a7bc34"
"2a832730-c6d4-012f-7fe5-58d385a7bc34",40028,"Pantheon egyptien : collection des personnages mythologiques de l'ancienne Egypte, d'apres les monuments, avec un texte explicatif","","Dubois, L. J. J.  (Leon  Jean  Joseph) | Champollion, Jean François (1790-1832)","1823-[1825?]",1823,"","","","General Note: Livr.  1-15.  No more published.\nCover title with imprint: A Paris : de L'imprimerir de Firmin Didot � 1825.","Egypt | Religion | Mythology, Egyptian","","","","","still image","","b14073799","","*OBZ (Champollion, J. F. Pantheon egyptien)  (Locked cage)","","","","","","9061046","[180] p.,  [90] leaves of col. plates : ill.  ; 27 cm.","","De L'imprimerie de Firmin Didot ...","A Paris",90,"http://digitalcollections.nypl.org/collections/2a832730-c6d4-012f-7fe5-58d385a7bc34"
"d99ae4b0-c6d3-012f-d947-3c075448cc4b",40029,"Usines Delahaye; collaboration des femmes a la defense nationale,  guerre europeenne.","","Societe des automobiles ""Delahaye""","1916",1916,"","French","","","Women | Employment in munitions | World War, 1914-1918 | Women's work","","France | Paris","","","still image","Photographs","b13917350","","TNK+ (Societe des automobiles ""Delahaye"". Usines Delahaye)","","","","","","40393435","1 p. l., 36 photos. 27 x 37 cm.","","","Paris",36,"http://digitalcollections.nypl.org/collections/d99ae4b0-c6d3-012f-d947-3c075448cc4b"
"4ca7d1e0-c6d4-012f-8aab-58d385a7bc34",40031,"Magic Scrapbooks: separated posters","","","","","","","","General Note: Former classmark: 8-MZC+ n.c. 13.","","","","","","still image","Posters","","","*T-Mss 2011-031a-s","","","","","","","","","","",20,"http://digitalcollections.nypl.org/collections/4ca7d1e0-c6d4-012f-8aab-58d385a7bc34"
"9b7029b0-c6d4-012f-6dfe-58d385a7bc34",40034,"Men of mark: eminent, progressive and rising","","Simmons, William J. (1849-1890)","1887",1887,"","","","","","","","","","still image","","b11723044","","Sc 920-S","","","","","","NYPGR6293247-B","1138 p. front., ports. 24 cm.","","Cleveland, O.","G. M. Rewell & Co.",88,"http://digitalcollections.nypl.org/collections/9b7029b0-c6d4-012f-6dfe-58d385a7bc34"
"859ef0e0-c6d4-012f-9f33-3c075448cc4b",40036,"Men of mark.","","Coburn, Alvin Langdon, 1882-1966","1913",1913,"","English","","","","","","","","still image","Portraits | Books","b10588217","","*KW+ 78-387","","","","","","","30 p. 33 mounted ports.(photogravures) 32 cm.","Photogravures","Duckworth; M. Kennerley","London, New York",36,"http://digitalcollections.nypl.org/collections/859ef0e0-c6d4-012f-9f33-3c075448cc4b"
"2e9d11f0-c6d5-012f-2ce6-58d385a7bc34",40040,"Album of Turkish Costume Paintings.","","Mahmud II, Sultan of the Turks (1784-1839)","1223-1242 [1808-1826]",1223,"","","","General Note: Titles in French below paintings; shorter titles in Italian and Russian on verso.","","","","","","still image","Watercolors","b12578496","","Arents 96-355","","","","","","","85 folios with paintings and dedication page. 28.7 x 20.5 cm (trimmed) Paper with laid lines.","","","Istanbul?",87,"http://digitalcollections.nypl.org/collections/2e9d11f0-c6d5-012f-2ce6-58d385a7bc34"
"65cfc030-c6d5-012f-0b61-58d385a7bc34",40042,"Oeyama Shuten Doji = The Tale of Shuten Doji","","","2nd half of the 17th cent.","","","Japanese","","General Note: Edo period (1615–1868)","","","","","","text | still image","Scrolls (Visual works) | Illustrations","","","Sorimachi 96","","","","","","","3 andscrolls; ink, color, and gold on paper ; 32.4 x 1552.2 cm, 32.4 x 2024.4 cm, and 32.4 x 1747.2 cm.","","","",86,"http://digitalcollections.nypl.org/collections/65cfc030-c6d5-012f-0b61-58d385a7bc34"
"c26cbaf0-c6d7-012f-d4fe-3c075448cc4b",40050,"Sporting sketches : consisting of subjects relating to sports of ... the whole illustrative of landscape scenery","","Alken, Henry Thomas (1784-1851)","1817-08-01",1817,"","","","Statement of Responsibility Note: by Henry Alken","Sports","","Great Britain","","","still image","Lithographs -- Hand-colored","b10851877","","Arents BIP (Alken, H.T. Sporting Sketches) 84-57","","","","","","NYPG84-B29407","6 pts. (art prints) : lithograph, hand-col. ; 28 x 44 cm. ;  [61 pl.]","","Published by S. and J. Fuller, at the Temple of Fancy","London",62,"http://digitalcollections.nypl.org/collections/c26cbaf0-c6d7-012f-d4fe-3c075448cc4b"
"758a59b0-c6d8-012f-bb61-3c075448cc4b",40060,"L'animal dans la décoration","","Verneuil, M. P. (Maurice Pillard) (1869-) | Lévy, E. | Imprimerie Lemercier et cie | Grasset, Eugène (1841-1917)","1897",1897,"","","","General Note: In portfolio.","Decoration and ornament | Animal forms","","","","","still image","Chromolithographs","b13983798","","MLM++ (Verneuil, M. P. Animal dans la décoration)","","","","","","","2 p. l., iv p., 60 col. pl. 48 cm. [pages 44 x 32 cm.]","","Librairie Centrale des Beaux-Arts, E. Lévy, Éditeur","Paris",62,"http://digitalcollections.nypl.org/collections/758a59b0-c6d8-012f-bb61-3c075448cc4b"
"4b0a1230-c6d9-012f-b6f0-58d385a7bc34",40069,"Photographs of Indians of the southwest and the plains","","","c1905-1914",1905,"","","","Statement of Responsibility Note: Fred Harvey and Karl Moon.","Indians of North America","","","","","still image","Gelatin silver prints","b11766869","","MFY 93-6283","","","","","","NYPG93-F239","49 photographic prints : silver gelatin, b ; 17 x 11 cm. or smaller; 1 photographic print : palladium, 12 x 16 cm.","","","",1,"http://digitalcollections.nypl.org/collections/4b0a1230-c6d9-012f-b6f0-58d385a7bc34"
"695842f0-c6d9-012f-9248-58d385a7bc34",40071,"John Bigelow papers, 1839-1912","","Bigelow, John, 1817-1911",1839,1839,1912,"English","","Ownership and Custodial History Note: Gift of Grace Bigelow, 1924; Grace Bigelow Cook; Rendell and Gilman's.","","","","","","text","Archival materials","b12077733","","MssCol 301","","","","","","","20 linear feet (37 boxes, 76 v.)","","","",46,"http://digitalcollections.nypl.org/collections/695842f0-c6d9-012f-9248-58d385a7bc34"
"7dbbd310-c6d9-012f-4b9d-3c075448cc4b",40072,"The pyramids of Gizeh, from actual survey and admeasurement, by J. E. [!] Perring. Illustrated by notes and references to the several plans, with sketches taken on the spot by E. J. Andrews.","","Day & Haghe | Perring, J. S. (John Shae) (1813-1869)",1839,1839,1842,"","","","Pyramids","","Egypt","","","still image","Lithographs","b14293075","","*OBL+++ (Perring, J. S. Pyramids of Gizeh)","","","","","","5464601","3 pt. in 1 v. plates, maps, plans. 60 cm.","","J. Fraser","London",62,"http://digitalcollections.nypl.org/collections/7dbbd310-c6d9-012f-4b9d-3c075448cc4b"
"00c017d0-c6da-012f-e519-58d385a7bc34",40074,"Stratemeyer Syndicate records","","",1832,1832,1984,"","","Ownership and Custodial History Note: Simon and Schuster, inc. Gift. 160 linear ft. 375 boxes.","","","","","","mixed material","Archival materials | Correspondence | Photographs","b14520874","","MssCol 2903","","","","","","","160 linear feet (375 boxes).","","","",1,"http://digitalcollections.nypl.org/collections/00c017d0-c6da-012f-e519-58d385a7bc34"
"2c2da8e0-c6da-012f-0f26-58d385a7bc34",40077,"Photographs of Ellis Island, 1902-1913.","","Williams, William (1862-1947) | Ellis Island Immigration Station (N.Y. and N.J.)",1902,1902,1913,"","","General Note: Originally part of the William Williams Collection; transferred to the Milstein Division of US, Local History and Genealogy; later transferred to the Photography Collection.","","Ellis Island Immigration Station (N.Y. and N.J.)","","","","still image","Gelatin silver prints","b12326658","","MFY 95-39","","","","","","NYPG95-F135","21 x 26 cm. or smaller on mounts 24 x 38 cm.","","","",46,"http://digitalcollections.nypl.org/collections/2c2da8e0-c6da-012f-0f26-58d385a7bc34"
"6cf01af0-c6da-012f-4659-58d385a7bc34",40081,"Milton, a poem in 2 books.","","Blake, William (1757-1827)","1804 [i.e. 1808?]",1804,"","","","General Note: The Milton copperplates,at an average size of about 16 x 11.5 cm.","","","","","","still image","Etchings -- Hand-colored","b14163872","","*KL (Blake, W. Milton, a poem in 2 books)","","","","","","41439179","46 [i.e. 49] f. col. illus. 25 cm.","","Keynes: Blake","London",49,"http://digitalcollections.nypl.org/collections/6cf01af0-c6da-012f-4659-58d385a7bc34"
"3992d1c0-c6db-012f-461a-58d385a7bc34",40095,"1913 supplement to the World's loose leaf album of apartment houses...","World (New York, N.Y. : 1860-1931) : World's loose leaf album of apartment houses.","","1913",1913,"","","","","Apartment houses | Dwellings","","New York (State) | New York","","","","","b10699644","","(S) IRH+ 81-447 Suppl.","","","","","","NYPG81-B9084","48 p. illus. 28x35 cm.","","[N.Y. World]","[New York]",48,"http://digitalcollections.nypl.org/collections/3992d1c0-c6db-012f-461a-58d385a7bc34"
"4b811da0-c6db-012f-d7ce-58d385a7bc34",40096,"Modern plumbing No. 6","","J.L. Mott Iron Works","1911",1911,"","English","","General Note: 3. ed.","Plumbing | Equipment and supplies","","","","","still image | text","Trade catalogs","b14720378","","VEB p.v.31,no.2","","","","","","44601523","79 p. 12mo.","","","New York",48,"http://digitalcollections.nypl.org/collections/4b811da0-c6db-012f-d7ce-58d385a7bc34"
"811c2b40-c6db-012f-5a91-58d385a7bc34",40100,"Cités et Ruines Americaines. Atlas.","","Charnay, Désiré, 1828-1915",1862,1862,1863,"French","","Statement of Responsibility Note: D. Charnay.","","","","","","still image","Photographs","b12637403","","MFZ+++ (Charnay) 03-4767","","","","","","","","Albumen prints","Gide","Paris",47,"http://digitalcollections.nypl.org/collections/811c2b40-c6db-012f-5a91-58d385a7bc34"
"e3f0ded0-c6db-012f-0803-58d385a7bc34",40107,"The costume of Yorkshire, illustrated by a series of forty engravings, being fac-similes of original drawings. With descriptions in English and French.","Costumes du comte d'York, réprésentés dans une série de quarante planches, fac-similes des desseins originaux, accompagnées de descriptions en anglois et en francois.","Walker, George, 1781-1856","1814",1814,"","English | French","","","Costume","","England | Yorkshire","","","still image","Prints","b13757782","","(Parsons) VWIP+ (Walker. Costume of Yorkshire)","","","","","","11843589","5 p. ℓ., 3-96 p. col. front., XL col. pl. 48 cm. | 5 p. l., 3-96 p. col. front., 40 col. pl. 48 cm.","Engravings","Longman, Hurst, Rees, Orme, and Brown; [etc., etc.]","London",42,"http://digitalcollections.nypl.org/collections/e3f0ded0-c6db-012f-0803-58d385a7bc34"
"fbb8d560-c6db-012f-4652-58d385a7bc34",40109,"An illustration of the Egyptian, Grecian, and Roman costume : in forty outlines with descriptions .","","Baxter, Thomas, 1782-1821","1814",1814,"","English","","","Costume | History","","","To 500","","still image | text","Books | Prints","b13949428","","MMF (Baxter, T. Illustration of the Egyptian, Grecian, and Roman costume)","","","","","","10549091","16 p., [40] leaves of plates : chiefly ill. ; 23 cm.","Engravings","printed for H. Setchel & Son by G. Smeeton","London",42,"http://digitalcollections.nypl.org/collections/fbb8d560-c6db-012f-4652-58d385a7bc34"
